"module","rva","ghidra_name","size","kind","confidence","subsystem","new_name","notes"
"SC3U.exe","0x00401000","FUN_00401000","57","fun","C0","","",""
"SC3U.exe","0x00401039","FUN_00401039","34","fun","C0","","",""
"SC3U.exe","0x0040105b","FUN_0040105b","75","fun","C0","","",""
"SC3U.exe","0x004010a6","FUN_004010a6","13","fun","C0","","",""
"SC3U.exe","0x0040111a","FUN_0040111a","402","fun","C0","","",""
"SC3U.exe","0x004012ac","FUN_004012ac","313","fun","C0","","",""
"SC3U.exe","0x00401409","FUN_00401409","145","fun","C0","","",""
"SC3U.exe","0x0040149a","FUN_0040149a","267","fun","C0","","",""
"SC3U.exe","0x004015a5","FUN_004015a5","354","fun","C0","","",""
"SC3U.exe","0x00401707","FUN_00401707","63","fun","C0","","",""
"SC3U.exe","0x00401746","FUN_00401746","259","fun","C0","","",""
"SC3U.exe","0x00401849","FUN_00401849","252","fun","C0","","",""
"SC3U.exe","0x00401945","FUN_00401945","53","fun","C0","","",""
"SC3U.exe","0x0040197a","FUN_0040197a","552","fun","C0","","",""
"SC3U.exe","0x00401ba2","FUN_00401ba2","82","fun","C0","","",""
"SC3U.exe","0x00401bf4","FUN_00401bf4","635","fun","C0","","",""
"SC3U.exe","0x00401e6f","FUN_00401e6f","70","fun","C0","","",""
"SC3U.exe","0x00401eb5","FUN_00401eb5","70","fun","C0","","",""
"SC3U.exe","0x00401efb","FUN_00401efb","40","fun","C0","","",""
"SC3U.exe","0x00401f23","FUN_00401f23","62","fun","C0","","",""
"SC3U.exe","0x00401f61","FUN_00401f61","44","fun","C0","","",""
"SC3U.exe","0x00401f8d","Catch@00401f8d","9","lib","lib","","",""
"SC3U.exe","0x00401f96","thunk_FUN_0040204b","5","thunk","thunk","","",""
"SC3U.exe","0x00401f9b","FUN_00401f9b","79","fun","C0","","",""
"SC3U.exe","0x00401fea","FUN_00401fea","35","fun","C0","","",""
"SC3U.exe","0x0040200d","FUN_0040200d","10","fun","C0","","",""
"SC3U.exe","0x00402017","FUN_00402017","52","fun","C0","","",""
"SC3U.exe","0x0040204b","FUN_0040204b","25","fun","C0","","",""
"SC3U.exe","0x00402064","FUN_00402064","119","fun","C0","","",""
"SC3U.exe","0x004020db","FUN_004020db","192","fun","C0","","",""
"SC3U.exe","0x0040219b","FUN_0040219b","69","fun","C0","","",""
"SC3U.exe","0x004021e0","FUN_004021e0","11","fun","C0","","",""
"SC3U.exe","0x004021eb","FUN_004021eb","104","fun","C0","","",""
"SC3U.exe","0x00402254","FUN_00402254","85","fun","C0","","",""
"SC3U.exe","0x004022ad","FUN_004022ad","28","fun","C0","","",""
"SC3U.exe","0x004022c9","~exception","6","thunk","thunk","","",""
"SC3U.exe","0x004022eb","~exception","6","thunk","thunk","","",""
"SC3U.exe","0x004022f1","FUN_004022f1","5","fun","C0","","",""
"SC3U.exe","0x004022f6","FUN_004022f6","87","fun","C0","","",""
"SC3U.exe","0x0040234d","FUN_0040234d","381","fun","C0","","",""
"SC3U.exe","0x004024ca","Catch@004024ca","56","lib","lib","","",""
"SC3U.exe","0x00402502","FUN_00402502","1","fun","C0","","",""
"SC3U.exe","0x00402503","FUN_00402503","45","fun","C0","","",""
"SC3U.exe","0x00402530","FUN_00402530","54","fun","C0","","",""
"SC3U.exe","0x00402566","FUN_00402566","63","fun","C0","","",""
"SC3U.exe","0x004025a5","FUN_004025a5","135","fun","C0","","",""
"SC3U.exe","0x0040262c","FUN_0040262c","106","fun","C2","STL","sc3_std_string_assign_range","[S15-B] MSVC basic_string substring/assign: clamps param_2/param_3 against [param_1[0]..param_1[1]) then FUN_00401f23(this, src+param_2, ...); generic STL"
"SC3U.exe","0x00402696","FUN_00402696","104","fun","C0","","",""
"SC3U.exe","0x0040271b","~exception","6","thunk","thunk","","",""
"SC3U.exe","0x0040274a","FUN_0040274a","45","fun","C0","","",""
"SC3U.exe","0x00402777","FUN_00402777","7","fun","C0","","",""
"SC3U.exe","0x004027a7","FUN_004027a7","269","fun","C0","","",""
"SC3U.exe","0x00402906","FUN_00402906","28","fun","C0","","",""
"SC3U.exe","0x00402922","~exception","6","thunk","thunk","","",""
"SC3U.exe","0x00402928","FUN_00402928","50","fun","C0","","",""
"SC3U.exe","0x0040295a","FUN_0040295a","87","fun","C0","","",""
"SC3U.exe","0x004029a0","Catch@004029a0","29","lib","lib","","",""
"SC3U.exe","0x004029ce","FUN_004029ce","9","fun","C0","","",""
"SC3U.exe","0x004029d7","FUN_004029d7","77","fun","C0","","",""
"SC3U.exe","0x00402a24","FUN_00402a24","28","fun","C0","","",""
"SC3U.exe","0x00402a40","FUN_00402a40","86","fun","C0","","",""
"SC3U.exe","0x00402a96","FUN_00402a96","20","fun","C0","","",""
"SC3U.exe","0x00402aaa","FUN_00402aaa","85","fun","C0","","",""
"SC3U.exe","0x00402b16","FUN_00402b16","92","fun","C0","","",""
"SC3U.exe","0x00402b72","FUN_00402b72","50","fun","C0","","",""
"SC3U.exe","0x00402ba4","FUN_00402ba4","297","fun","C0","","",""
"SC3U.exe","0x00402c8f","Catch@00402c8f","32","lib","lib","","",""
"SC3U.exe","0x00402ced","Catch@00402ced","9","lib","lib","","",""
"SC3U.exe","0x00402cf6","FUN_00402cf6","36","fun","C0","","",""
"SC3U.exe","0x00402d29","FUN_00402d29","67","fun","C0","","",""
"SC3U.exe","0x00402d6c","FUN_00402d6c","39","fun","C0","","",""
"SC3U.exe","0x00402e31","FUN_00402e31","67","fun","C0","","",""
"SC3U.exe","0x00402e74","FUN_00402e74","370","fun","C2","S1-host","sc3_app_ctor","base ctor FUN_0045d44c; sets 7 vtables (004cf684/66c/630/59c/58c + transient 004cf6d8/6c8); stores singleton DAT_004fa86c=this; installs crash handler FUN_00401000; zero-inits app+0x3c..+0xf8, +0x168/169/16a (cheat flags), tier byte +0xe8; operator_new(0x54)->FUN_0046d0a6 at +0x4c"
"SC3U.exe","0x00402ff1","FUN_00402ff1","32","fun","C0","","",""
"SC3U.exe","0x00403011","FUN_00403011","8","fun","C0","","",""
